Politik,Podstatná jména,Slovesa,Přídavná jména,Příslovce,Zájmena,Členy,Předložky,Spojky,Podřadicí spojky,Číslovky,Částice,Citoslovce
lubomir-volny_texty_2022,20.26714615977395,10.19383904048687,9.163389910885416,6.12736864984489,4.368788160208659,5.23819873935466,7.852358276195933,0.0,2.2861546365271,2.1122725206978994,0.7093599952577604,0.6737931988381513
lubomir-zaoralek_texty,21.89903193703067,10.712023884918121,9.911336288790373,5.921469284357188,4.953406315027594,5.22934949787388,8.95232063693115,0.0,2.840857685696191,1.773274224192527,0.5473627069573871,0.031665611146295125
ludek-niedermayer_texty,21.064207628016096,9.620554261229412,8.381531142573193,6.857394222779778,4.143925446814057,6.486746281301422,8.999006174750322,0.0,2.9383013734339105,1.4337151142899038,1.135567539386435,0.044803597321559495
lukas-otys_texty,18.5357165574709,10.915336174543604,8.052922842058393,8.186502130907702,5.642134724254182,5.629412887220915,8.11653202722473,0.0,2.665224858469563,1.1958526811271546,0.9923032885948732,0.19718847401564787
lukas-semerak_texty,19.75510204081633,12.03265306122449,7.746938775510204,7.86938775510204,5.224489795918368,4.83265306122449,8.906122448979591,0.0,2.3836734693877553,1.7061224489795919,1.3142857142857143,0.2204081632653061
lukas-wagenknecht_texty,26.423955765771765,9.906068882819266,10.032642728665646,4.906401971887283,3.1743388181999865,4.83312237692359,9.672906535207515,0.0,2.0917993471454266,2.1517553793884483,0.6795016987542469,0.16987542468856173
marek-hilser_texty,21.56538969616909,11.237969428193999,9.468767692017362,5.8407246650311375,4.746178524249858,5.557652387242876,8.850726552179657,0.0,3.071334214002642,1.335157576901302,0.7454236648424232,0.15097188148707302
marek-novak_texty,26.000616712920138,9.324699352451434,11.131668208448966,6.493987049028677,3.700277520814061,4.187480727721246,9.596053037311131,0.0,1.7761332099907494,1.5294480419364784,0.8202281837804501,0.049337033610854154
marek-vyborny_texty,23.33686083986724,10.043773149261629,9.673384963201693,5.5534176728077345,3.9732550868247634,5.20948578575208,9.557939294819375,0.0,1.8856125835778539,1.4575015633267594,0.5748232238202896,0.18519409302996775
marek-zenisek_texty,17.926877516348995,10.854336847494706,7.156321999581093,7.084176964788568,4.7080453350089595,6.0206195163955405,8.322278852195769,0.0,2.883474132514138,2.0084246782564175,1.1589750750541088,0.1931625125090181
marian-jurecka_texty,21.684152540250896,11.936299671983374,7.196334226406591,7.168790845581792,4.301775296091344,6.279890828054185,8.798858201667628,0.0,2.5940856849538023,1.6375791872198713,1.0266169216516012,0.1852918346395573
marketa-adamova_texty,21.343714882003532,11.486594959062451,7.898539091346926,6.244983143361695,4.519184459784877,5.518542302135175,8.580831594156365,0.0,2.729170011237759,1.3324771231337293,1.0595601220099533,0.152512441804463
marketa-gregorova_texty,19.257530759439966,11.213406873143828,7.90411540093339,6.656767076792533,5.417904115400933,5.371234620280017,9.21086126431905,0.0,2.409843020789139,1.3661434026304624,0.8273228680526092,0.19092066185829445
martin-kolovratnik_texty,21.19547929569822,10.827423610201523,9.47364481784331,7.172127313212208,4.307392923301461,5.110117321258163,8.560522425762027,0.0,2.2631588795539175,2.017102333327096,1.0525232490691017,0.334936287259323
martin-kupka_texty,24.283778552071237,10.636856368563684,10.578784359272165,6.63472706155633,3.7069299264421214,4.805458768873403,9.659310878823074,0.0,2.2357723577235773,1.267905536198219,1.0210994967092528,0.1064653503677894
martina-dlabajova_texty,22.309217046580773,10.89197224975223,9.920713577799802,6.0356788899900895,3.8850346878097124,4.618434093161547,11.060455896927651,0.0,1.5659068384539148,1.9226957383548067,0.535183349851338,0.19821605550049554
michaela-sojdrova_texty,21.39021149374377,11.532499169527185,8.620307828590411,5.633373934226553,4.6285018270401945,5.101871332078397,9.483999557081164,0.0,2.1979847193001882,1.4976193112612115,0.683755951721847,0.17716753404938546
michal-kucera_texty,20.87467298484624,10.365763364430624,8.98366158250654,6.846339898316797,4.072264178883459,5.330964015992892,8.470309492077595,0.0,2.3002122513450813,1.5449923490794215,1.1106175033318524,0.2122513450811985
mikulas-ferjencik_texty,21.24662618083671,11.724021592442645,6.992240215924427,6.292172739541161,4.908906882591093,4.5630904183535765,9.345479082321187,0.0,2.909919028340081,2.1592442645074224,0.99527665317139,0.20242914979757085
mikulas-peksa_texty,21.802796829072772,11.386835307740268,11.246103144205932,5.5918767257504225,4.1827736706154806,5.114456221608623,9.234880199519017,0.0,2.5830586977821324,1.061726195778035,0.7927318072503785,0.1496392624922063
milos-vystrcil_texty,23.558054605530117,8.91542519274245,8.996579908411107,6.03443278650513,3.5824010202307113,4.376557880702568,9.280621413251405,0.0,2.376673816010666,2.4056576430351866,0.8579212799258014,0.06956118485884877
milos-zeman_texty_2016,30.63980518042949,6.143458047376577,11.268541067079921,3.553243303077264,1.8707106486606155,3.331857427496126,10.183750276732345,0.0,0.5423953951737879,3.8410449413327425,0.08855435023245517,0.05534646889528448
milos-zeman_texty_2017,24.456971293771637,8.440305137710242,9.88940289819552,5.039674029594682,3.6947397444931225,5.054992187739346,8.440305137710242,0.0,2.585705094819399,3.1647314726877243,0.5667718513525934,0.15318158144664687
milos-zeman_texty_2018,20.72227723815343,9.79541096900613,10.105138956195612,5.802659025304988,4.42257853816818,6.131349950485662,7.658919955331746,0.0,3.503929542150397,1.9152567371104698,0.8006573818503613,0.14327553148901204
milos-zeman_texty_2019,20.84164282204688,9.693921789647101,9.691031532703258,5.4105609988728,4.737131130957542,5.818087227954565,7.760339894216596,0.0,3.1677216104511694,1.9798260065319806,0.8034914303881615,0.1994277291251192
milos-zeman_texty_2020,19.813658094008442,10.749555082527829,8.434239452838748,6.176501378371777,4.927242907492061,6.326551976829396,7.668283490944621,0.0,3.5541054541647763,1.3766270021286249,0.9840527619778763,0.35244442893533867
milos-zeman_texty_2021,18.13499507201221,10.978285060248623,7.706737036212761,6.697294375735225,5.439862652211236,6.7433949066861665,7.566845769878867,0.0,3.780243537977299,1.3019425809938638,1.0698502527580835,0.26547547133818716
miloslava-vostra_texty,24.26172839506173,11.091358024691358,10.128395061728394,7.318518518518519,4.3999999999999995,5.590123456790123,8.014814814814814,0.0,1.7037037037037037,0.8592592592592593,0.9382716049382716,0.0345679012345679
miluse-horska_texty,23.372348207754207,10.875396244818338,8.119970738844184,5.815654718361375,4.18190685198732,5.730309680565716,9.912216532553037,0.0,1.8410143867349424,2.04828090709583,0.8290660814435503,0.10972933430870518
miroslav-antl_texty,22.79819767199299,6.616880136843423,11.381367599816429,5.075305603070633,2.853686011097668,3.133213734406942,9.741749760106805,0.0,1.0784763653051859,1.4706495890525262,0.5548833910467688,0.06675288914848346
miroslav-kalousek_texty_2016,22.45037645448323,10.746064339493499,10.53388090349076,5.0718685831622174,3.8466803559206024,5.482546201232033,8.336755646817249,0.0,2.5051334702258727,1.4168377823408624,0.732375085557837,0.06160164271047228
miroslav-kalousek_texty_2017,22.79167922821827,10.81298361973671,10.72254044819616,5.165310019093559,3.406692794694001,5.898904632700231,8.29062405788363,0.0,2.441965631594815,1.658124811576726,0.6130037182192744,0.040196965129132754
miroslav-kalousek_texty_2018,19.154269746034355,11.622969233719624,8.216213254431386,5.808060053149229,4.983425111640777,6.227226651324621,7.376510232596367,0.0,2.6944467274869184,1.4122900742445412,1.0150406838168817,0.2698556203939618
miroslav-kalousek_texty_2019,19.60776114409969,11.594324105823645,8.444147082601544,5.898915558529174,4.868835549608319,6.0048507150623065,7.503275626550695,0.0,2.7361935825597277,1.5834518134426139,0.8279668813247469,0.23974798583814225
miroslav-kalousek_texty_2020,19.161250028914438,11.89146677152969,7.503874534477574,6.277902431125812,5.321644190511439,5.967014410955102,7.675973259929217,0.0,2.7336864749832297,1.5970021512340682,0.943304573107261,0.3793574055654507
miroslav-kalousek_texty_2021,19.829487867405952,11.83896738806415,8.252846837178799,6.1393310677875155,4.988672270911584,6.0379777022595835,7.5046205210755375,0.0,2.724616943897931,1.4249090800691588,0.7571692601204317,0.18333035235199427
miroslav-kalousek_texty_2022,19.43765281173594,11.878565607171964,8.712815810920945,5.865423797881011,4.846678891605542,6.193969030154849,7.388447432762836,0.0,2.8652200488997552,1.869396903015485,0.9041361043194784,0.170639771801141
olga-richterova_texty,22.77374140037292,9.798752652221436,8.352086414196618,6.204590754195332,3.510576737606893,4.745065260721404,9.580145309586575,0.0,1.9353179450909794,2.1089178936539574,1.0030219250305406,0.28933324760496365
olga-sehnalova_texty,23.803596127247577,10.20285846011987,10.774550484094053,6.2378976486860305,4.200092208390964,5.380359612724758,9.944674965421854,0.0,2.070078377132319,1.0557860765329645,0.9727985246657446,0.07837713231904103
ondrej-profant_texty,22.552783109404988,10.643866689931949,8.323154772291048,6.935962310242541,4.048159134531495,5.217239574245332,8.855348106787647,0.0,2.0938754144128424,1.893212353864945,1.0382132263130344,0.15704065608096318
patrik-nacher_texty,19.396951623591782,11.530815109343937,7.000220896841175,7.729180472719239,5.787497238789485,5.920035343494588,8.749723878948531,0.0,2.582284073337751,1.1729622266401591,1.2127236580516898,0.24298652529268833
pavel-belobradek_texty_2016,23.091877271574678,9.923083424900685,9.703321781759785,5.468683965852422,3.7274955625052826,4.893922745330065,9.390584058828502,0.0,2.4934494125602233,1.6566646944467924,0.684642042092807,0.08452370890034655
pavel-belobradek_texty_2017,20.174110522331567,10.156447136008074,9.32374463790058,6.358819076457229,4.516780217007318,4.8448145344436035,10.862982588947768,0.0,1.501387837496846,1.9934393136512745,0.42896795357052736,0.12616704516780217
